epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,3642.25,0.38547,0.26483,0.88347,0.86114,0.79634,0.83737,0.69368,0.69453,0.61016,1.09984,0.00020909,0.00020909,0.00020909
84,3687.91,0.38226,0.26202,0.87868,0.85222,0.81496,0.844,0.69926,0.69539,0.59076,1.08876,0.000198091,0.000198091,0.000198091
85,3733.89,0.3772,0.2647,0.87971,0.85088,0.81702,0.83784,0.69922,0.69323,0.60233,1.08599,0.000187092,0.000187092,0.000187092
86,3779.18,0.3821,0.26108,0.88012,0.85419,0.80165,0.83195,0.69111,0.69445,0.60834,1.09486,0.000176094,0.000176094,0.000176094
87,3824.64,0.37663,0.25656,0.88124,0.84029,0.80714,0.84051,0.69872,0.68612,0.60482,1.09338,0.000165095,0.000165095,0.000165095
88,3869.63,0.37425,0.2531,0.8795,0.86126,0.80032,0.84087,0.69749,0.68966,0.59548,1.0938,0.000154096,0.000154096,0.000154096
89,3914.27,0.37135,0.25335,0.87821,0.84198,0.82576,0.84545,0.70392,0.69444,0.613,1.09981,0.000143097,0.000143097,0.000143097
90,3960.19,0.36764,0.24826,0.87971,0.84945,0.81406,0.83374,0.69521,0.68866,0.60109,1.09722,0.000132098,0.000132098,0.000132098
91,4024.7,0.31002,0.19235,0.82868,0.85645,0.81106,0.83726,0.69326,0.69291,0.59997,1.09475,0.000121099,0.000121099,0.000121099
92,4070.5,0.30136,0.18639,0.8269,0.84222,0.81683,0.84036,0.70216,0.68777,0.59751,1.10074,0.0001101,0.0001101,0.0001101
93,4115.14,0.29698,0.18098,0.82167,0.86856,0.81085,0.83903,0.69776,0.69626,0.61211,1.1151,9.91012e-05,9.91012e-05,9.91012e-05
94,4161.06,0.28883,0.17923,0.82442,0.84603,0.83055,0.84805,0.70156,0.68775,0.60356,1.11175,8.81023e-05,8.81023e-05,8.81023e-05
95,4206.67,0.28916,0.17831,0.82278,0.84245,0.82458,0.84227,0.70122,0.68515,0.61548,1.10616,7.71034e-05,7.71034e-05,7.71034e-05
96,4252.23,0.28413,0.17433,0.8227,0.85618,0.81992,0.85144,0.7095,0.68949,0.6119,1.11063,6.61045e-05,6.61045e-05,6.61045e-05
97,4299.68,0.27747,0.17144,0.82087,0.87087,0.8096,0.85294,0.71326,0.68396,0.59405,1.1076,5.51056e-05,5.51056e-05,5.51056e-05
98,4345.68,0.27329,0.1654,0.81466,0.8431,0.83267,0.85124,0.7105,0.68543,0.60705,1.11205,4.41067e-05,4.41067e-05,4.41067e-05
99,4390.5,0.27352,0.16608,0.81696,0.85355,0.82241,0.85134,0.70953,0.68572,0.60517,1.11423,3.31078e-05,3.31078e-05,3.31078e-05
100,4435.38,0.27464,0.1657,0.81581,0.86487,0.80161,0.84558,0.70916,0.6853,0.6124,1.11121,2.21089e-05,2.21089e-05,2.21089e-05
